,pitcher_name,pitcher_id,sample_size,num_pitch_types,train_acc,test_acc,best_epoch,naive_est,improvement,overfit
111,2018 Ross Stripling,2018548389,1802.0,5.0,0.5004,0.5654,13.0,0.394,0.1714,-0.06500000000000006
112,2018 Felipe Vázquez,2018553878,1115.0,5.0,0.6902,0.7312,19.0,0.6565,0.0747,-0.040999999999999925
113,2018 Zack Wheeler,2018554430,2791.0,6.0,0.494,0.5487,10.0,0.4271,0.1216,-0.05469999999999997
114,2018 Félix Peña,2018570240,1389.0,4.0,0.6004,0.569,11.0,0.5025,0.0665,0.031400000000000095
115,2018 José Ureña,2018570632,2654.0,5.0,0.6005,0.6054,15.0,0.5565,0.0489,-0.0049000000000000155
116,2018 Matt Boyd,2018571510,2729.0,5.0,0.543,0.5578,18.0,0.3422,0.2156,-0.014799999999999924
117,2018 Patrick Corbin,2018571578,3040.0,5.0,0.6022,0.6105,11.0,0.4049,0.2056,-0.008300000000000085
118,2018 Buck Farmer,2018571656,1113.0,3.0,0.6439,0.6057,19.0,0.5651,0.0406,0.03820000000000001
119,2018 Mike Fiers,2018571666,2539.0,5.0,0.4869,0.4913,19.0,0.3824,0.1089,-0.004400000000000015
120,2018 Mychal Givens,2018571710,1031.0,4.0,0.3842,0.7364,0.0,0.7517,-0.0153,-0.35220000000000007
121,2018 Andrew Heaney,2018571760,2678.0,3.0,0.6633,0.6776,17.0,0.5799,0.0977,-0.01429999999999998
122,2018 Matt Koch,2018571863,1243.0,4.0,0.5536,0.5402,19.0,0.4296,0.1106,0.013399999999999967
123,2018 Steven Matz,2018571927,2648.0,5.0,0.6566,0.6752,10.0,0.5967,0.0785,-0.01860000000000006
124,2018 Miles Mikolas,2018571945,2830.0,5.0,0.4524,0.4506,18.0,0.2714,0.1792,0.0018000000000000238
125,2018 Bryan Mitchell,2018571951,1153.0,5.0,0.6748,0.6159,19.0,0.608,0.0079,0.05889999999999995
126,2018 James Paxton,2018572020,2453.0,4.0,0.7026,0.7264,13.0,0.6384,0.088,-0.023800000000000043
127,2018 Garrett Richards,2018572070,1283.0,5.0,0.5665,0.5202,18.0,0.3882,0.132,0.04630000000000001
128,2018 Tyler Skaggs,2018572140,2059.0,4.0,0.5855,0.5359,19.0,0.456,0.0799,0.04959999999999998
129,2018 Burch Smith,2018572143,1271.0,4.0,0.66,0.6006,19.0,0.6098,-0.0092,0.05940000000000001
130,2018 Ryan Tepera,2018572193,1020.0,5.0,0.5961,0.5373,19.0,0.3471,0.1902,0.05879999999999996
131,2018 Robbie Erlin,2018572362,1529.0,5.0,0.5908,0.6188,18.0,0.3009,0.3179,-0.028000000000000025
132,2018 Dallas Keuchel,2018572971,3306.0,5.0,0.5728,0.584,12.0,0.418,0.166,-0.011199999999999988
133,2018 Dan Straily,2018573185,2043.0,5.0,0.5705,0.5225,16.0,0.4322,0.0903,0.04800000000000004
134,2018 Marcus Stroman,2018573186,1661.0,6.0,0.5663,0.5865,13.0,0.4413,0.1452,-0.020199999999999996
135,2018 Hector Velázquez,2018584171,1284.0,5.0,0.5545,0.5483,19.0,0.3707,0.1776,0.006199999999999983
136,2018 Cody Allen,2018592102,1080.0,2.0,0.7506,0.6333,19.0,0.6019,0.0314,0.11730000000000007
137,2018 Cam Bedrosian,2018592135,1020.0,2.0,0.6745,0.6314,19.0,0.5578,0.0736,0.04310000000000003
138,2018 Dylan Covey,2018592229,2011.0,7.0,0.634,0.668,14.0,0.6052,0.0628,-0.03400000000000003
139,2018 Mike Foltynewicz,2018592314,3087.0,5.0,0.5438,0.5337,18.0,0.3991,0.1346,0.010099999999999998
140,2018 Kevin Gausman,2018592332,2981.0,4.0,0.6483,0.6515,17.0,0.5854,0.0661,-0.0031999999999999806
141,2018 Jon Gray,2018592351,2709.0,5.0,0.5933,0.5619,18.0,0.4932,0.0687,0.031400000000000095
142,2018 Heath Hembree,2018592390,1031.0,4.0,0.6455,0.6047,19.0,0.5771,0.0276,0.04079999999999995
143,2018 Nick Kingham,2018592468,1255.0,6.0,0.4952,0.4745,18.0,0.396,0.0785,0.020699999999999996
